Date,Description,Amount,Balance,Category
23-Mar-2021,BROUGHT FORWARD,0.00,105.30,
24-Mar-2021,Bruce,10000.00,10105.30,income
24-Mar-2021,PNP FRAN OUDTS,-57.67,10047.63,grocery
24-Mar-2021,FRUIT & VEG CI,-31.99,10015.64,eatout
24-Mar-2021,"CR INT RATE CHANGED TO   0,20%",0.00,10015.64,
24-Mar-2021,BDS STANDA 0324 0847 INS FUNDS,-8.60,10007.04,bank
25-Mar-2021,OM PENCARE PENSION,13959.32,23966.36,income
25-Mar-2021,Holiday - 2033534626,-1000.00,22966.36,save
25-Mar-2021,Emergency pool - 2033534332,-500.00,22466.36,save
25-Mar-2021,SPAR WILCK ,-1379.81,21086.55,grocery
25-Mar-2021,MR PRICE- OUDT,-950.50,20136.05,clothes
25-Mar-2021,C*TRAFFIC DEPA,-454.80,19681.25,motor
25-Mar-2021,PNP FRAN OUDTS,-445.37,19235.88,grocery
25-Mar-2021,C*ENGEN KLEIN ,-300.00,18935.88,petrol
25-Mar-2021,WIMPY OUDTDHOO,-243.50,18692.38,eatout
25-Mar-2021,KLEIN KAROO ME,-164.50,18527.88,eatout
25-Mar-2021,C*KFC OUDSTHOO,-97.60,18430.28,eatout
25-Mar-2021,ADMED     2480515ADMED,-284.00,18146.28,insure
26-Mar-2021,BOSHOFF BOUMAT,-1800.00,16346.28,maintenance
26-Mar-2021,CSB Oudtshoorn,-1329.90,15016.38,maintenance
27-Mar-2021,INTEREST 24/02 - 26/03,4.06,15020.44,income
27-Mar-2021,CARRIED FORWARD,0.00,15020.44,
27-Mar-2021,BROUGHT FORWARD,0.00,15020.44,
27-Mar-2021,VAT 24/02-26/03 = R4.43,0.00,15020.44,
27-Mar-2021,SPAR WILCK,-409.78,14610.66,grocery
27-Mar-2021,MUGG & BEAN OU,-205.00,14405.66,eatout
27-Mar-2021,CAFE DE MOVE O,-70.00,14335.66,eatout
27-Mar-2021,GOOGLE *Google,-23.99,14311.67,entertainment
27-Mar-2021,CROSS BORDER T5898461071361032,-0.47,14311.20,bank
29-Mar-2021,ATM CASH ,-1000.00,13311.20,cash
29-Mar-2021,TUINROETE AGRI,-513.62,12797.58,clothes
29-Mar-2021,PNP FRAN OUDTS,-494.78,12302.80,grocery
29-Mar-2021,Checkers Oudts,-290.38,12012.42,grocery
29-Mar-2021,ACKERMANS YORK,-279.90,11732.52,clothes
29-Mar-2021,OK MIKRO ,-193.56,11538.96,grocery
29-Mar-2021,ROAD SIDE DELI,-115.00,11423.96,eatout
29-Mar-2021,C*PLANKTON CAS,-110.00,11313.96,eatout
29-Mar-2021,STEERS OUDTSHO,-65.90,11248.06,eatout
29-Mar-2021,C*HOP VALLEY F,-64.00,11184.06,eatout
29-Mar-2021,SL-DEBITS SANLAM      62500011,-500.00,10684.06,insure
29-Mar-2021,VODACOM 0357429576 I1136560,-551.97,10132.09,comms
30-Mar-2021,ATM CASH ,-1000.00,9132.09,cash
30-Mar-2021,PNP FRAN OUDTS,-528.65,8603.44,grocery
30-Mar-2021,CARRIED FORWARD,0.00,8603.44,
30-Mar-2021,BROUGHT FORWARD,0.00,8603.44,
30-Mar-2021,CSB Oudtshoorn,-519.55,8083.89,maintenance
30-Mar-2021,C*CARLU TREKKE,-340.00,7743.89,petrol
30-Mar-2021,STEERS OUDTSHO,-155.60,7588.29,eatout
30-Mar-2021,Yoco*mr soft s,-65.00,7523.29,eatout
30-Mar-2021,C*WIMPY OUDTSH,-59.90,7463.39,eatout
30-Mar-2021,KLEIN KAROO AG,-54.00,7409.39,eatout
30-Mar-2021,Spar Oudtshoor,-40.98,7368.41,eatout
30-Mar-2021,RATES,-1787.00,5581.41,rates
30-Mar-2021,School fees,-945.00,4636.41,kids
30-Mar-2021,"CR INT RATE CHANGED TO   0,00%",0.00,4636.41,
31-Mar-2021,Telkom 60 GB Day + 27681874665,-459.00,4177.41,comms
31-Mar-2021,CSB Oudtshoorn,-670.80,3506.61,maintenance
31-Mar-2021,PNP FRAN OUDTS,-230.44,3276.17,grocery
31-Mar-2021,BEANS ABOUT CO,-148.00,3128.17,eatout
31-Mar-2021,TIMBERCITY OUD,-135.30,2992.87,maintenance
31-Mar-2021,Notification Fee:FAX,-15.00,2977.87,bank
01-Apr-2021,ATM CASH ,-600.00,2377.87,cash
01-Apr-2021,Checkers Oudts,-190.44,2187.43,grocery
01-Apr-2021,DOMEIN DOORNKR,-85.00,2102.43,eatout
01-Apr-2021,DOMEIN DOORNKR,-23.00,2079.43,eatout
01-Apr-2021,CARRIED FORWARD,0.00,2079.43,
01-Apr-2021,BROUGHT FORWARD,0.00,2079.43,
01-Apr-2021,Prepaid Airtime,-1.50,2077.93,bank
03-Apr-2021,Bruce,2200.00,4277.93,income
03-Apr-2021,OK MIKRO ,-287.43,3990.50,grocery
03-Apr-2021,Spar Oudtshoor,-183.70,3806.80,grocery
03-Apr-2021,PNP FRAN OUDTS,-93.71,3713.09,grocery
03-Apr-2021,CAFE DE MOVE O,-70.00,3643.09,eatout
06-Apr-2021,Ang and Steve,10000.00,13643.09,income
06-Apr-2021,ATM CASH ,-1000.00,12643.09,cash
06-Apr-2021,PNP FRAN OUDTS,-1791.02,10852.07,grocery
06-Apr-2021,Spar Oudtshoor,-422.67,10429.40,grocery
06-Apr-2021,C*TOTAL SWARTB,-330.00,10099.40,petrol
06-Apr-2021,Checkers Oudts,-326.66,9772.74,grocery
06-Apr-2021,"CR INT RATE CHANGED TO   0,20%",0.00,9772.74,
07-Apr-2021,CWR CURIO OUDT,-625.00,9147.74,electronics
07-Apr-2021,PNP FRAN OUDTS,-400.82,8746.92,grocery
07-Apr-2021,PNP FRAN OUDTS,-255.77,8491.15,grocery
07-Apr-2021,C*QUEENS MALL ,-216.30,8274.85,self care
07-Apr-2021,C*KFC OUDSTHOO,-132.80,8142.05,eatout
07-Apr-2021,TURTLES ,-80.00,8062.05,?
07-Apr-2021,CWR GRUNTS ,-68.00,7994.05,?
07-Apr-2021,CARRIED FORWARD,0.00,7994.05,
07-Apr-2021,BROUGHT FORWARD,0.00,7994.05,
07-Apr-2021,Damp Doctor,-500.00,7494.05,maintenance
07-Apr-2021,Plumber,-180.00,7314.05,maintenance
08-Apr-2021,Checkers Oudts,-795.83,6518.22,grocery
08-Apr-2021,MILLIES STORE ,-99.85,6418.37,eatout
08-Apr-2021,APPLE.COM/BILL,-14.99,6403.38,internet services
08-Apr-2021,Notification Fee: SMS,-1.15,6402.23,bank
08-Apr-2021,CROSS BORDER T5898461071361032,-0.29,6401.94,bank
09-Apr-2021,ATM CASH ,-1000.00,5401.94,cash
09-Apr-2021,ATM/SSD WITHDRAWAL FEE,-22.00,5379.94,bank
09-Apr-2021,KAROOPOT ,-225.00,5154.94,eatout
09-Apr-2021,KAROOPOT ,-225.00,4929.94,eatout
09-Apr-2021,C*WIMPY OUDTSH,-220.00,4709.94,eatout
09-Apr-2021,GOOGLE *YouTub,-109.99,4599.95,internet services
09-Apr-2021,C*TOTAL SWARTB,-100.00,4499.95,petrol
09-Apr-2021,BIG FISH TAKE ,-56.00,4443.95,eatout
09-Apr-2021,Spar Oudtshoor,-49.95,4394.00,grocery
09-Apr-2021,GOOGLE *Google,-23.99,4370.01,entertainment
